,datetime,Date,Time,Temp,rain,Day of the Week,School Holiday,Public Holiday,Weekend,type_of_day
295,2024-08-09 14:55:00,2024-08-09,14:55:00,29,1,Friday,0,1,0,3
296,2024-08-09 14:56:00,2024-08-09,14:56:00,29,1,Friday,0,1,0,3
297,2024-08-09 14:57:00,2024-08-09,14:57:00,29,1,Friday,0,1,0,3
298,2024-08-09 14:58:00,2024-08-09,14:58:00,29,1,Friday,0,1,0,3
299,2024-08-09 14:59:00,2024-08-09,14:59:00,29,1,Friday,0,1,0,3
300,2024-08-09 15:00:00,2024-08-09,15:00:00,29,1,Friday,0,1,0,3
301,2024-08-09 15:01:00,2024-08-09,15:01:00,29,1,Friday,0,1,0,3
302,2024-08-09 15:02:00,2024-08-09,15:02:00,29,1,Friday,0,1,0,3
303,2024-08-09 15:03:00,2024-08-09,15:03:00,29,1,Friday,0,1,0,3
304,2024-08-09 15:04:00,2024-08-09,15:04:00,29,1,Friday,0,1,0,3
305,2024-08-09 15:05:00,2024-08-09,15:05:00,29,1,Friday,0,1,0,3
306,2024-08-09 15:06:00,2024-08-09,15:06:00,29,1,Friday,0,1,0,3
307,2024-08-09 15:07:00,2024-08-09,15:07:00,29,1,Friday,0,1,0,3
308,2024-08-09 15:08:00,2024-08-09,15:08:00,29,1,Friday,0,1,0,3
309,2024-08-09 15:09:00,2024-08-09,15:09:00,29,1,Friday,0,1,0,3
